ManagementPackId,WorkflowId,WorkflowType,DisplayName,Description,OverrideParameterName,OverrideParameterType,DefaultValue,Notes
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.NetworkAdapter.All.Discovery,Discovery,Discover Network Adapters (Both Enabled and Disabled),This rule uses WMI to discover all network adapters reported by Windows Server 2016 and 1709+ operating systems.,Enabled,bool,FALSE,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.NetworkAdapter.All.Discovery,Discovery,Discover Network Adapters (Both Enabled and Disabled),This rule uses WMI to discover all network adapters reported by Windows Server 2016 and 1709+ operating systems.,TimeoutSeconds,int,360,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.NetworkAdapter.All.Discovery,Discovery,Discover Network Adapters (Both Enabled and Disabled),This rule uses WMI to discover all network adapters reported by Windows Server 2016 and 1709+ operating systems.,DiscoverDisabledNetworkAdapters,bool,TRUE,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.NetworkAdapter.All.Discovery,Discovery,Discover Network Adapters (Both Enabled and Disabled),This rule uses WMI to discover all network adapters reported by Windows Server 2016 and 1709+ operating systems.,IntervalSeconds,int,86760,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.Core.AllServersComputerGroupDiscovery,Discovery,Populate All Windows Server 2016 and 1709+ Computer Group (Core),"This Discovery Rule discovers and populates the Windows Server Computer group named ""Windows Server 2016 and 1709+ Computer Group (Core)"" with instances of computers that are running Windows Server 2016 and 1709+ operating systems.",Enabled,bool,TRUE,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.AllServersComputerGroupDiscovery,Discovery,Populate All Windows Server 2016 and 1709+ Computer Group,"This Discovery Rule discovers and populates the Windows Server Computer group named "" Windows Server 2016 and 1709+ Computer Group"" with instances of computers that are running Windows Server 2016 and 1709+ operating systems.",Enabled,bool,TRUE,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.NetworkAdapter.Discovery,Discovery,Discover Network Adapters (Only Enabled),This rule uses WMI to discover all enabled network adapters reported by Windows Server 2016 and 1709+ operating systems.,Enabled,bool,TRUE,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.NetworkAdapter.Discovery,Discovery,Discover Network Adapters (Only Enabled),This rule uses WMI to discover all enabled network adapters reported by Windows Server 2016 and 1709+ operating systems.,TimeoutSeconds,int,360,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.NetworkAdapter.Discovery,Discovery,Discover Network Adapters (Only Enabled),This rule uses WMI to discover all enabled network adapters reported by Windows Server 2016 and 1709+ operating systems.,DiscoverDisabledNetworkAdapters,bool,FALSE,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.NetworkAdapter.Discovery,Discovery,Discover Network Adapters (Only Enabled),This rule uses WMI to discover all enabled network adapters reported by Windows Server 2016 and 1709+ operating systems.,IntervalSeconds,int,86820,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.LogicalDisk.Discovery,Discovery,Discover Windows Logical Disks,"This Discovery Rule discovers and populates the Windows Server Class named “Windows Server 2016 and 1709+ Logical Disk"" with instances of Logical Disks (for example C:, D:) that are discovered on Windows Server 2016 and 1709+ operating systems. Please note that only Local Disks are detected. Logical Disks that are classified as Removable, Compact Disk, Network Drive, and RAM Disks are excluded.",Enabled,bool,TRUE,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.LogicalDisk.Discovery,Discovery,Discover Windows Logical Disks,"This Discovery Rule discovers and populates the Windows Server Class named “Windows Server 2016 and 1709+ Logical Disk"" with instances of Logical Disks (for example C:, D:) that are discovered on Windows Server 2016 and 1709+ operating systems. Please note that only Local Disks are detected. Logical Disks that are classified as Removable, Compact Disk, Network Drive, and RAM Disks are excluded.",TimeoutSeconds,int,360,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.LogicalDisk.Discovery,Discovery,Discover Windows Logical Disks,"This Discovery Rule discovers and populates the Windows Server Class named “Windows Server 2016 and 1709+ Logical Disk"" with instances of Logical Disks (for example C:, D:) that are discovered on Windows Server 2016 and 1709+ operating systems. Please note that only Local Disks are detected. Logical Disks that are classified as Removable, Compact Disk, Network Drive, and RAM Disks are excluded.",IntervalSeconds,int,86460,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.StandardLicense.Discovery,Discovery,License Discovery for Microsoft Windows Server,"This discovery rule discovers and populates the class named “System Center Operations Manager Standard License""",Enabled,bool,TRUE,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.PhysicalDiskContainsDiskPartition.Discovery,Discovery,Physical Disk to Disk Partition Discovery Rule,This rule discovers the relationships between physical disks and disk partitions,Enabled,bool,FALSE,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.PhysicalDiskContainsDiskPartition.Discovery,Discovery,Physical Disk to Disk Partition Discovery Rule,This rule discovers the relationships between physical disks and disk partitions,Frequency,int,86940,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.CPU.Discovery,Discovery,Discover Windows CPUs,This rule uses WMI to discover all processors reported by Windows Server 2016 and 1709+ operating systems.,Enabled,bool,FALSE,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.CPU.Discovery,Discovery,Discover Windows CPUs,This rule uses WMI to discover all processors reported by Windows Server 2016 and 1709+ operating systems.,TimeoutSeconds,int,360,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.CPU.Discovery,Discovery,Discover Windows CPUs,This rule uses WMI to discover all processors reported by Windows Server 2016 and 1709+ operating systems.,IntervalSeconds,int,86640,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.DiskPartitionContainsLogicalDisk.Discovery,Discovery,Disk Partition to Logical Disk Discovery Rule,This rule discovers the relationships between disk partitions and logical disks,Enabled,bool,TRUE,
Microsoft.Windows.Server.2016.Discovery,Microsoft.Windows.Server.10.0.DiskPartitionContainsLogicalDisk.Discovery,Discovery,Disk Partition to Logical Disk Discovery Rule,This rule discovers the relationships between disk partitions and logical disks,TimeoutSeconds,int,360,
